======== ABC command line "source /tmp/dyn_c6288_287.scr"
Warning: Detected 2 multi-output cells (for example, "FA_X1").
mapper_extract: wrote 2338 lines to "/mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c6288/c6288_cfg_winvpair_base.csv".
Loaded 2338 physical records from /mnt/d/My_abc_work/abc/my_work/dynamic_scheduler_work/result/run_dynamic_per_aig_full_cfg_winvpair_base/c6288/c6288_cfg_winvpair_base.csv
Potential rebuilt: alpha(low/mid/high)=0.200/0.500/0.800 avg_struct=0.6206 avg_slack=0.0941 avg_opt_mid=0.3573
Physical records : 2338
Gate summary     : NAND=2291 AND=46 INV=1 OTHER=0
Alpha (L/M/H)    : 0.200 / 0.500 / 0.800
StructW(i/p/f/g) : 0.500 / 0.400 / 0.050 / 0.050
phyopt: start rounds=1, criticality partitions high(>=0.900)->low(<=0.250)->mid, window=16, mode=dynamic.
phyopt: objective=map(area,delay), low-part delay budget=+10% from pre-opt.
phyopt: dynamic scheduler enabled (init=15%, leader=5%, probe=1%, part-stop=10, global-stop=2).
phyopt: round=1 partition sizes high=1581 low=28 mid=729.
phyopt: part=high seed=n140(id=140 center=140 R=5 crit=0.904 pot=0.2304)
phyopt: accepted (map area 2283.08->2256.48, delay 45.00->45.00).
phyopt: part=high seed=n68(id=68 center=68 R=5 crit=0.912 pot=0.2234)
phyopt: rejected (map area 2256.48->2274.57, delay 45.00->45.00).
phyopt: part=high seed=n96(id=96 center=96 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 2256.48->1406.61, delay 45.00->45.00).
phyopt: part=high seed=n97(id=97 center=97 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1406.61->1410.33, delay 45.00->45.00).
phyopt: part=high seed=n111(id=111 center=111 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1406.61->1403.42, delay 45.00->45.00).
phyopt: part=high seed=n112(id=112 center=112 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1403.42->1404.48, delay 45.00->45.00).
phyopt: part=high seed=n158(id=158 center=158 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1403.42->1562.22, delay 45.00->46.00).
phyopt: part=high seed=n159(id=159 center=159 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1403.42->1402.88, delay 45.00->45.00).
phyopt: part=high seed=n173(id=173 center=173 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1402.88->1403.42, delay 45.00->45.00).
phyopt: part=high seed=n174(id=174 center=174 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1402.88->1402.88, delay 45.00->45.00).
phyopt: part=high seed=n230(id=230 center=230 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1402.88->1404.75, delay 45.00->45.00).
phyopt: part=high seed=n231(id=231 center=231 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1402.88->1403.68, delay 45.00->45.00).
phyopt: part=high seed=n245(id=245 center=245 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1402.88->1402.88, delay 45.00->45.00).
phyopt: part=high seed=n246(id=246 center=246 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1402.88->1402.88, delay 45.00->45.00).
phyopt: part=high seed=n312(id=312 center=312 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1402.88->1403.68, delay 45.00->45.00).
phyopt: part=high seed=n313(id=313 center=313 R=5 crit=0.921 pot=0.2196)
phyopt: rejected (map area 1402.88->1403.68, delay 45.00->45.00).
phyopt: part=high seed=n327(id=327 center=327 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1402.88->1402.88, delay 45.00->45.00).
phyopt: part=high seed=n328(id=328 center=328 R=5 crit=0.921 pot=0.2196)
phyopt: accepted (map area 1402.88->1402.88, delay 45.00->45.00).
phyopt: part=high seed=n404(id=404 center=404 R=5 crit=0.921 pot=0.2196)
